Core#  istart#  iend#  jstart#  jend#
     0      1     25      1      2
     1      1     25      3      3
     2     26     50      1      2
     3     26     50      3      3
     4     51     75      1      2
     5     51     75      3      3
     6     76    100      1      2
     7     76    100      3      3
     8    101    125      1      2
     9    101    125      3      3
    10    126    150      1      2
    11    126    150      3      3
    12    151    175      1      2
    13    151    175      3      3
    14    176    200      1      2
    15    176    200      3      3
    16    201    225      1      2
    17    201    225      3      3
    18    226    250      1      2
    19    226    250      3      3
    20    251    275      1      2
    21    251    275      3      3
    22    276    300      1      2
    23    276    300      3      3
    24    301    325      1      2
    25    301    325      3      3
    26    326    350      1      2
    27    326    350      3      3
    28    351    374      1      2
    29    351    374      3      3
    30    375    398      1      2
    31    375    398      3      3
