Mglob,Nglob,DX,DY,TITLE,PX,PY,DEPTH_TYPE,DEPTH_FLAT,TOTAL_TIME,PLOT_INTV,PLOT_INTV_STATION,SCREEN_INTV,WAVEMAKER,Tperiod,Xc_WK,AMP_WK,DEP_WK,Yc_WK,Theta_WK,Delta_WK,PERIODIC,DIFFUSION_SPONGE,FRICTION_SPONGE,DIRECT_SPONGE,Csp,Sponge_south_width,Sponge_north_width,Sponge_west_width,Sponge_east_width,Cd,CFL,FroudeCap,MinDepth,VISCOSITY_BREAKING,Cbrk1,Cbrk2,FIELD_IO_TYPE,DEPTH_OUT,ETA,MASK,U,V,STATIONS_FILE,NumberStations,PI_1,PI_2,PI_3,PI_4,PI_5,EPSILON,TAU_1,k,L,kh,RESULT_FOLDER,ITER,COMBO_NUM,DEPTH_FILE
7630,3,0.07450532759144703,0.07450532759144703,input_00001,32,1,FLAT,1.0,300.0,1.0,0.1,25.0,WK_REG,2.0,26.076864657006457,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,20.861491725605166,20.861491725605166,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/stations/stations_00001.txt,50,4,1.0,50.0,50.0,4,0.05,150,1.2047432446008017,5.2153729314012915,1.2047432446008017,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/output_raw/out_raw_00001/,1,1,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/bathy/bathy_00001.txt
7631,3,0.12418483616223046,0.12418483616223046,input_00002,32,1,FLAT,1.0,450.0,1.0,0.1,25.0,WK_REG,3.0,43.46469265678066,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,34.77175412542453,34.77175412542453,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/stations/stations_00002.txt,50,4,1.0,50.0,50.0,4,0.05,150,0.7227918711855178,8.692938531356132,0.7227918711855178,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/output_raw/out_raw_00002/,2,2,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/bathy/bathy_00002.txt
7631,3,0.1714493297279537,0.1714493297279537,input_00003,32,1,FLAT,1.0,600.0,1.0,0.1,25.0,WK_REG,4.0,60.007265404783794,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,48.00581232382704,48.00581232382704,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/stations/stations_00003.txt,50,4,1.0,50.0,50.0,4,0.05,150,0.5235353806573136,12.00145308095676,0.5235353806573136,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/output_raw/out_raw_00003/,3,3,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/bathy/bathy_00003.txt
7630,3,0.21770476489456206,0.21770476489456206,input_00004,32,1,FLAT,1.0,750.0,1.0,0.1,25.0,WK_REG,5.0,76.19666771309672,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,60.957334170477374,60.957334170477374,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/stations/stations_00004.txt,50,4,1.0,50.0,50.0,4,0.05,150,0.4123005307028426,15.239333542619343,0.4123005307028426,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/output_raw/out_raw_00004/,4,4,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/bathy/bathy_00004.txt
7630,3,0.2634547747940727,0.2634547747940727,input_00005,32,1,FLAT,1.0,900.0,1.0,0.1,25.0,WK_REG,6.0,92.20917117792544,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,73.76733694234035,73.76733694234035,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/stations/stations_00005.txt,50,4,1.0,50.0,50.0,4,0.05,150,0.3407028404504171,18.441834235585087,0.3407028404504171,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/output_raw/out_raw_00005/,5,5,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/bathy/bathy_00005.txt
7631,3,0.3089164752634503,0.3089164752634503,input_00006,32,1,FLAT,1.0,1050.0,1.0,0.1,25.0,WK_REG,7.0,108.1207663422076,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,86.49661307376608,86.49661307376608,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/stations/stations_00006.txt,50,4,1.0,50.0,50.0,4,0.05,150,0.2905632987881806,21.62415326844152,0.2905632987881806,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/output_raw/out_raw_00006/,6,6,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/bathy/bathy_00006.txt
7630,3,0.35419829716957213,0.35419829716957213,input_00007,32,1,FLAT,1.0,1200.0,1.0,0.1,25.0,WK_REG,8.0,123.96940400935024,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,99.1755232074802,99.1755232074802,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/stations/stations_00007.txt,50,4,1.0,50.0,50.0,4,0.05,150,0.2534167747836266,24.79388080187005,0.2534167747836266,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/output_raw/out_raw_00007/,7,7,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/bathy/bathy_00007.txt
7630,3,0.39936036445040374,0.39936036445040374,input_00008,32,1,FLAT,1.0,1350.0,1.0,0.1,25.0,WK_REG,9.0,139.7761275576413,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,111.82090204611305,111.82090204611305,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/stations/stations_00008.txt,50,4,1.0,50.0,50.0,4,0.05,150,0.2247588846882493,27.955225511528262,0.2247588846882493,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/output_raw/out_raw_00008/,8,8,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/bathy/bathy_00008.txt
7630,3,0.4444386904483603,0.4444386904483603,input_00009,32,1,FLAT,1.0,1500.0,1.0,0.1,25.0,WK_REG,10.0,155.55354165692611,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,124.44283332554089,124.44283332554089,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/stations/stations_00009.txt,50,4,1.0,50.0,50.0,4,0.05,150,0.20196214243186997,31.110708331385222,0.20196214243186997,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/output_raw/out_raw_00009/,9,9,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/bathy/bathy_00009.txt
7630,3,0.48945616164552846,0.48945616164552846,input_00010,32,1,FLAT,1.0,1650.0,1.0,0.1,25.0,WK_REG,11.0,171.30965657593495,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,137.04772526074797,137.04772526074797,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/stations/stations_00010.txt,50,4,1.0,50.0,50.0,4,0.05,150,0.1833867813632121,34.26193131518699,0.1833867813632121,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/output_raw/out_raw_00010/,10,10,/lustre/scratch/rschanta/USACE/Flat_Tank/Base_Study/bathy/bathy_00010.txt
