TITLE,PX,PY,DEPTH_TYPE,DEPTH_FLAT,Mglob,Nglob,TOTAL_TIME,PLOT_INTV,PLOT_INTV_STATION,SCREEN_INTV,DX,DY,WAVEMAKER,Tperiod,Xc_WK,AMP_WK,DEP_WK,Yc_WK,Theta_WK,Delta_WK,PERIODIC,DIFFUSION_SPONGE,FRICTION_SPONGE,DIRECT_SPONGE,Csp,Sponge_south_width,Sponge_north_width,Sponge_west_width,Sponge_east_width,Cd,Cd_regional,FRICTION_MATRIX,CFL,FroudeCap,MinDepth,VISCOSITY_BREAKING,Cbrk1,Cbrk2,FIELD_IO_TYPE,DEPTH_OUT,ETA,MASK,U,V,STATIONS_FILE,NumberStations,PI_1,PI_2,PI_3,PI_4,PI_5,PI_6,PI_7,EPSILON,TAU_1,k,L,kh,failed_checks,COMBO_NUM
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,0.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.028,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,251
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,0.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.442,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,252
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,0.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.966,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,253
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,0.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,1.333,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,254
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,0.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,4.375,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,255
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,1.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.028,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,256
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,1.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.442,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,257
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,1.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,0.966,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,258
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,1.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,1.333,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,259
DYNAMIC,32,1,FLAT,5.0,7630,3,400.0,1.0,0.1,25.0,0.08921009727780353,0.08921009727780353,WK_REG,2.0,31.223534047231233,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.978827237784987,24.978827237784987,0.0,1.0,T,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,4.375,25.0,0.05,2,1.0061617781118457,6.244706809446247,5.0308088905592285,filter_kh,260
