TITLE,PX,PY,DEPTH_TYPE,DEPTH_FLAT,Mglob,Nglob,TOTAL_TIME,PLOT_INTV,PLOT_INTV_STATION,SCREEN_INTV,DX,DY,WAVEMAKER,Tperiod,Xc_WK,AMP_WK,DEP_WK,Yc_WK,Theta_WK,Delta_WK,PERIODIC,DIFFUSION_SPONGE,FRICTION_SPONGE,DIRECT_SPONGE,Csp,Sponge_south_width,Sponge_north_width,Sponge_west_width,Sponge_east_width,Cd,CFL,FroudeCap,MinDepth,VISCOSITY_BREAKING,Cbrk1,Cbrk2,FIELD_IO_TYPE,DEPTH_OUT,ETA,MASK,U,V,STATIONS_FILE,NumberStations,PI_1,PI_2,PI_3,PI_4,PI_5,THORN_1,EPSILON,TAU_1,k,L,kh,failed_checks,COMBO_NUM
DYNAMIC,32,1,FLAT,4.0,9266,3,300.0,1.0,0.1,25.0,0.07342670961070492,0.07342670961070492,WK_REG,2.0,31.206351584549594,0.2,4.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.965081267639675,24.965081267639675,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,85.0,0.05,150,1.0067157787023107,6.241270316909919,4.026863114809243,filter_kh,136
DYNAMIC,32,1,FLAT,4.0,5450,3,300.0,1.0,0.1,25.0,0.12482540633819837,0.12482540633819837,WK_REG,2.0,31.206351584549594,0.2,4.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.965081267639675,24.965081267639675,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,50.0,0.05,150,1.0067157787023107,6.241270316909919,4.026863114809243,filter_kh,137
DYNAMIC,32,1,FLAT,4.0,3815,3,300.0,1.0,0.1,25.0,0.1783220090545691,0.1783220090545691,WK_REG,2.0,31.206351584549594,0.2,4.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.965081267639675,24.965081267639675,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,35.0,0.05,150,1.0067157787023107,6.241270316909919,4.026863114809243,filter_kh,138
DYNAMIC,32,1,FLAT,5.0,9266,3,300.0,1.0,0.1,25.0,0.07346713893466014,0.07346713893466014,WK_REG,2.0,31.223534047230565,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.97882723778445,24.97882723778445,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,85.0,0.05,150,1.0061617781118672,6.244706809446113,5.030808890559336,filter_kh,181
DYNAMIC,32,1,FLAT,5.0,5450,3,300.0,1.0,0.1,25.0,0.12489413618892226,0.12489413618892226,WK_REG,2.0,31.223534047230565,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.97882723778445,24.97882723778445,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,50.0,0.05,150,1.0061617781118672,6.244706809446113,5.030808890559336,filter_kh,182
DYNAMIC,32,1,FLAT,5.0,3816,3,300.0,1.0,0.1,25.0,0.1784201945556032,0.1784201945556032,WK_REG,2.0,31.223534047230565,0.25,5.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.97882723778445,24.97882723778445,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,35.0,0.05,150,1.0061617781118672,6.244706809446113,5.030808890559336,filter_kh,183
DYNAMIC,32,1,FLAT,6.0,9266,3,300.0,1.0,0.1,25.0,0.0734725721100795,0.0734725721100795,WK_REG,2.0,31.225843146783788,0.30000000000000004,6.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.98067451742703,24.98067451742703,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,85.0,0.05,150,1.0060873741093432,6.245168629356757,6.036524244656059,filter_kh,226
DYNAMIC,32,1,FLAT,6.0,5451,3,300.0,1.0,0.1,25.0,0.12490337258713514,0.12490337258713514,WK_REG,2.0,31.225843146783788,0.30000000000000004,6.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.98067451742703,24.98067451742703,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,50.0,0.05,150,1.0060873741093432,6.245168629356757,6.036524244656059,filter_kh,227
DYNAMIC,32,1,FLAT,6.0,3816,3,300.0,1.0,0.1,25.0,0.17843338941019307,0.17843338941019307,WK_REG,2.0,31.225843146783788,0.30000000000000004,6.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.98067451742703,24.98067451742703,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,35.0,0.05,150,1.0060873741093432,6.245168629356757,6.036524244656059,filter_kh,228
DYNAMIC,32,1,FLAT,7.0,9265,3,300.0,1.0,0.1,25.0,0.07347329915161857,0.07347329915161857,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,85.0,0.05,150,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,271
DYNAMIC,32,1,FLAT,7.0,5450,3,300.0,1.0,0.1,25.0,0.12490460855775157,0.12490460855775157,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,50.0,0.05,150,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,272
DYNAMIC,32,1,FLAT,7.0,3815,3,300.0,1.0,0.1,25.0,0.17843515508250224,0.17843515508250224,WK_REG,2.0,31.22615213943789,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980921711550312,24.980921711550312,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,35.0,0.05,150,1.0060774185564914,6.245230427887578,7.04254192989544,filter_kh,273
DYNAMIC,32,1,FLAT,7.0,9265,3,450.0,1.0,0.1,25.0,0.16469905345414942,0.16469905345414942,WK_REG,3.0,69.9970977180135,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,55.9976781744108,55.9976781744108,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,85.0,0.05,150,0.4488175590144955,13.9994195436027,3.1417229131014683,filter_kh,274
DYNAMIC,32,1,FLAT,7.0,5450,3,450.0,1.0,0.1,25.0,0.279988390872054,0.279988390872054,WK_REG,3.0,69.9970977180135,0.35000000000000003,7.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,55.9976781744108,55.9976781744108,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,50.0,0.05,150,0.4488175590144955,13.9994195436027,3.1417229131014683,filter_kh,275
