Mglob,Nglob,DX,DY,TITLE,PX,PY,DEPTH_TYPE,DEPTH_FLAT,TOTAL_TIME,PLOT_INTV,PLOT_INTV_STATION,SCREEN_INTV,WAVEMAKER,Tperiod,Xc_WK,AMP_WK,DEP_WK,Yc_WK,Theta_WK,Delta_WK,PERIODIC,DIFFUSION_SPONGE,FRICTION_SPONGE,DIRECT_SPONGE,Csp,Sponge_south_width,Sponge_north_width,Sponge_west_width,Sponge_east_width,Cd,CFL,FroudeCap,MinDepth,VISCOSITY_BREAKING,Cbrk1,Cbrk2,FIELD_IO_TYPE,DEPTH_OUT,ETA,MASK,U,V,STATIONS_FILE,NumberStations,PI_1,PI_2,PI_3,PI_4,PI_5,THORN_1,EPSILON,TAU_1,k,L,kh,RESULT_FOLDER,ITER,COMBO_NUM,DEPTH_FILE
9266,3,0.061357328604721074,0.061357328604721074,input_00001,32,1,FLAT,1.0,300.0,1.0,0.1,25.0,WK_REG,2.0,26.076864657006457,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,20.861491725605166,20.861491725605166,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/stations/stations_00001.txt,50,4,1.0,50.0,50.0,4,85.0,0.05,150,1.2047432446008017,5.2153729314012915,1.2047432446008017,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/output_raw/out_raw_00001/,1,1,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/bathy/bathy_00001.txt
5451,3,0.10430745862802583,0.10430745862802583,input_00002,32,1,FLAT,1.0,300.0,1.0,0.1,25.0,WK_REG,2.0,26.076864657006457,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,20.861491725605166,20.861491725605166,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/stations/stations_00002.txt,50,4,1.0,50.0,50.0,4,50.0,0.05,150,1.2047432446008017,5.2153729314012915,1.2047432446008017,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/output_raw/out_raw_00002/,2,2,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/bathy/bathy_00002.txt
3815,3,0.14901065518289405,0.14901065518289405,input_00003,32,1,FLAT,1.0,300.0,1.0,0.1,25.0,WK_REG,2.0,26.076864657006457,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,20.861491725605166,20.861491725605166,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/stations/stations_00003.txt,50,4,1.0,50.0,50.0,4,35.0,0.05,150,1.2047432446008017,5.2153729314012915,1.2047432446008017,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/output_raw/out_raw_00003/,3,3,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/bathy/bathy_00003.txt
9265,3,0.10226986507477803,0.10226986507477803,input_00004,32,1,FLAT,1.0,450.0,1.0,0.1,25.0,WK_REG,3.0,43.46469265678066,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,34.77175412542453,34.77175412542453,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/stations/stations_00004.txt,50,4,1.0,50.0,50.0,4,85.0,0.05,150,0.7227918711855178,8.692938531356132,0.7227918711855178,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/output_raw/out_raw_00004/,4,4,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/bathy/bathy_00004.txt
5450,3,0.17385877062712266,0.17385877062712266,input_00005,32,1,FLAT,1.0,450.0,1.0,0.1,25.0,WK_REG,3.0,43.46469265678066,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,34.77175412542453,34.77175412542453,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/stations/stations_00005.txt,50,4,1.0,50.0,50.0,4,50.0,0.05,150,0.7227918711855178,8.692938531356132,0.7227918711855178,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/output_raw/out_raw_00005/,5,5,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/bathy/bathy_00005.txt
3816,3,0.24836967232446092,0.24836967232446092,input_00006,32,1,FLAT,1.0,450.0,1.0,0.1,25.0,WK_REG,3.0,43.46469265678066,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,34.77175412542453,34.77175412542453,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/stations/stations_00006.txt,50,4,1.0,50.0,50.0,4,35.0,0.05,150,0.7227918711855178,8.692938531356132,0.7227918711855178,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/output_raw/out_raw_00006/,6,6,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/bathy/bathy_00006.txt
9266,3,0.1411935656583148,0.1411935656583148,input_00007,32,1,FLAT,1.0,600.0,1.0,0.1,25.0,WK_REG,4.0,60.007265404783794,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,48.00581232382704,48.00581232382704,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/stations/stations_00007.txt,50,4,1.0,50.0,50.0,4,85.0,0.05,150,0.5235353806573136,12.00145308095676,0.5235353806573136,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/output_raw/out_raw_00007/,7,7,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/bathy/bathy_00007.txt
5451,3,0.24002906161913518,0.24002906161913518,input_00008,32,1,FLAT,1.0,600.0,1.0,0.1,25.0,WK_REG,4.0,60.007265404783794,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,48.00581232382704,48.00581232382704,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/stations/stations_00008.txt,50,4,1.0,50.0,50.0,4,50.0,0.05,150,0.5235353806573136,12.00145308095676,0.5235353806573136,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/output_raw/out_raw_00008/,8,8,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/bathy/bathy_00008.txt
3816,3,0.3428986594559074,0.3428986594559074,input_00009,32,1,FLAT,1.0,600.0,1.0,0.1,25.0,WK_REG,4.0,60.007265404783794,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,48.00581232382704,48.00581232382704,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/stations/stations_00009.txt,50,4,1.0,50.0,50.0,4,35.0,0.05,150,0.5235353806573136,12.00145308095676,0.5235353806573136,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/output_raw/out_raw_00009/,9,9,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/bathy/bathy_00009.txt
9265,3,0.1792862769719923,0.1792862769719923,input_00010,32,1,FLAT,1.0,750.0,1.0,0.1,25.0,WK_REG,5.0,76.19666771309672,0.05,1.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,60.957334170477374,60.957334170477374,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/stations/stations_00010.txt,50,4,1.0,50.0,50.0,4,85.0,0.05,150,0.4123005307028426,15.239333542619343,0.4123005307028426,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/output_raw/out_raw_00010/,10,10,/lustre/scratch/rschanta/USACE/Flat_Tank/DX_Study/bathy/bathy_00010.txt
