VAR,CON,LO,HI,NUM,,
TITLE,TITLE_,,,,,
PX,8,,,,,
PY,2,,,,,
D3_trial,5.0,,,,,
D3_trial,24.0,,,,,
WG_to_use,0,,,,,
DEPTH_TYPE,DATA,,,,,
DEPTH_FILE,Dependent,,,,,
RESULT_FOLDER,RESULT_FOLDER_,,,,,
pi_1,1.0,,,,,
pi_2,0.5,,,,,
Mglob,Dependent,,,,,
Nglob,3,,,,,
TOTAL_TIME,200.0,,,,,
PLOT_INTV,0.1,,,,,
SCREEN_INTV,40.0,,,,,
PLOT_START_TIME,0.0,,,,,
DX,Dependent,,,,,
DY,Dependent,,,,,
WAVEMAKER,WK_TIME_SERIES,,,,,
WaveCompFile,Dependent,,,,,
DEP_WK,Dependent,,,,,
Xc_WK,Dependent,,,,,
Theta_WK,0.0,,,,,
Delta_WK,3.0,,,,,
PERIODIC,F,,,,,
DIFFUSION_SPONGE,F,,,,,
FRICTION_SPONGE,T,,,,,
DIRECT_SPONGE,T,,,,,
Csp,0.0,,,,,
CDsponge,1.0,,,,,
Sponge_west_width,Dependent,,,,,
Sponge_east_width,0.0,,,,,
Sponge_south_width,0.0,,,,,
Sponge_north_width,0.0,,,,,
Cd,0.0,,,,,
CFL,0.4,,,,,
FroudeCap,3.0,,,,,
MinDepth,0.01,,,,,
VISCOSITY_BREAKING,T,,,,,
Cbrk1,0.65,,,,,
Cbrk2,0.35,,,,,
T_INTV_mean,20.0,,,,,
STEADY_TIME,50.0,,,,,
DEPTH_OUT,T,,,,,
ETA,T,,,,,
MASK,T,,,,,
WaveHeight,T,,,,,
U,T,,,,,
V,T,,,,,
ROLLER,T,,,,,
UNDERTOW,T,,,,,
ROLLER_EFFECT,T,,,,,
FIELD_IO_TYPE,BINARY,,,,,
DATA_DIR,/work/thsu/rschanta/DATA,,,,
lo,0.1,,,,
hi,0.6,,,,
