Core#  istart#  iend#  jstart#  jend#
     0      1    131      1      2
     1      1    131      3      3
     2    132    261      1      2
     3    132    261      3      3
     4    262    391      1      2
     5    262    391      3      3
     6    392    521      1      2
     7    392    521      3      3
     8    522    651      1      2
     9    522    651      3      3
    10    652    781      1      2
    11    652    781      3      3
    12    782    911      1      2
    13    782    911      3      3
    14    912   1041      1      2
    15    912   1041      3      3
