VAR,CON,LO,HI,NUM
TITLE,Dependent,,,
PI_1,0.20,,,
PI_2,3.00,,,
PI_3,1.50,,,
PI_4,3.00,,,
PI_5,,0.05,0.25,5
PX,8,,,
PY,2,,,
DEPTH_TYPE,SLOPE,,,
DEPTH_FLAT,,3.00,10.00,8
SLP,,0.01,0.08,8
Xslp,Dependent,,,
RESULT_FOLDER,Dependent,,,
Mglob,Dependent,,,
Nglob,3,,,
TOTAL_TIME,400.00,,,
PLOT_INTV,0.1,,,
SCREEN_INTV,50.00,,,
PLOT_START_TIME,0.00,,,
DX,Dependent,,,
DY,Dependent,,,
WAVEMAKER,WK_IRR,,,
DEP_WK,Dependent,,,
Xc_WK,Dependent,,,
FreqPeak,,0.08,0.20,10
FreqMin,0.04,,,
FreqMax,0.25,,,
Hmo,Dependent,,,
Theta_WK,0.00,,,
Delta_WK,3.00,,,
PERIODIC,F,,,
DIFFUSION_SPONGE,F,,,
FRICTION_SPONGE,T,,,
DIRECT_SPONGE,T,,,
Csp,0.0,,,
CDsponge,1.0,,,
Sponge_west_width,Dependent,,,
Sponge_east_width,0.00,,,
Sponge_south_width,0.00,,,
Sponge_north_width,0.00,,,
Cd,0.00,,,
CFL,0.40,,,
FroudeCap,3.00,,,
MinDepth,0.00,,,
VISCOSITY_BREAKING,T,,,
Cbrk1,0.65,,,
Cbrk2,0.35,,,
T_INTV_mean,20.00,,,
STEADY_TIME,50.00,,,
DEPTH_OUT,T,,,
ETA,T,,,
MASK,T,,,
WaveHeight,T,,,
U,T,,,
V,T,,,
ROLLER,T,,,
UNDERTOW,T,,,
ROLLER_EFFECT,T,,,
FIELD_IO_TYPE,BINARY,,,
