Core#  istart#  iend#  jstart#  jend#
     0      1     34      1      2
     1      1     34      3      3
     2     35     68      1      2
     3     35     68      3      3
     4     69    102      1      2
     5     69    102      3      3
     6    103    136      1      2
     7    103    136      3      3
     8    137    170      1      2
     9    137    170      3      3
    10    171    204      1      2
    11    171    204      3      3
    12    205    238      1      2
    13    205    238      3      3
    14    239    272      1      2
    15    239    272      3      3
    16    273    305      1      2
    17    273    305      3      3
    18    306    338      1      2
    19    306    338      3      3
    20    339    371      1      2
    21    339    371      3      3
    22    372    404      1      2
    23    372    404      3      3
    24    405    437      1      2
    25    405    437      3      3
    26    438    470      1      2
    27    438    470      3      3
    28    471    503      1      2
    29    471    503      3      3
    30    504    536      1      2
    31    504    536      3      3
